Name,Company,Industry,Net Sales (million),Net income (million),Salary (000),Bonus,Other annual comp,Total compensation,Total comp with options ($000),Total comp + opt exer,All other pay,Percent stock owned,CEO?,Full Title,Sex,Age,GVKEY,SP Industry Code,SIC,SIC Desc,Id,Annual CEO
Patrick Mullen,TRIBUNE CO,Discretionary,5594.829,891.379,460.385,330,6.648,790.385,2451.462,1001.693,0,,,president-Tribune Broadcasting Company,MALE,.,10726,2540,2711,"NEWSPAPER:PUBG, PUBG & PRINT",25333,
Timothy Wallace,TRINITY INDUSTRIES,Industrial,1432.8,-10,900,800,8.75,1700,4986.753,4044.549,0,0.93,CEO,"chairman, president & CEO",MALE,50,10735,2010,3743,RAILROAD EQUIPMENT,4036,CEO
Mark Stiles,TRINITY INDUSTRIES,Industrial,1432.8,-10,390,371.084,0,761.084,1629.132,1454.934,0,,,senior vp,MALE,.,10735,2010,3743,RAILROAD EQUIPMENT,10450,
Jim Ivy,TRINITY INDUSTRIES,Industrial,1432.8,-10,375,280.009,0,655.009,1235.176,1697.807,0,,,senior vp & chief finance officer,MALE,.,10735,2010,3743,RAILROAD EQUIPMENT,17123,
John Adams,TRINITY INDUSTRIES,Industrial,1432.8,-10,550,416.546,0,966.546,1744.35,1488.177,0,,,executive vp,MALE,.,10735,2010,3743,RAILROAD EQUIPMENT,19710,
Michael Flannery,TRINITY INDUSTRIES,Industrial,1432.8,-10,550,504.24,0,1054.24,1793.773,1562.526,0,,,CEO-Trinity rail group,MALE,.,10735,2010,3743,RAILROAD EQUIPMENT,25556,
James Pignatelli,UNISOURCE ENERGY CORP,Utility,969.895,112.617,599.327,550,0,1149.327,1275.373,1161.327,0,0.09,CEO,"chairman, president & CEO",MALE,60,10757,5510,4911,ELECTRIC SERVICES,19508,CEO
Dennis Nelson,UNISOURCE ENERGY CORP,Utility,969.895,112.617,269.732,150,0,419.732,483.054,431.732,0,,,"senior vp; chief operating officer-UniSource Energy Services, Inc.",MALE,.,10757,5510,4911,ELECTRIC SERVICES,19510,
Steven Glaser,UNISOURCE ENERGY CORP,Utility,969.895,112.617,274.596,166,0,440.596,504.101,451.828,0,,,senior vp; chief operating officer-transmission and distribution-TEP,MALE,.,10757,5510,4911,ELECTRIC SERVICES,19511,
Michael DeConcini,UNISOURCE ENERGY CORP,Utility,969.895,112.617,229.192,145,0,374.192,428.226,384.506,0,,,senior vp-investments & planning; senior vp & chief operating officer-sub.,MALE,.,10757,5510,4911,ELECTRIC SERVICES,22075,
Kevin Larson,UNISOURCE ENERGY CORP,Utility,969.895,112.617,219.462,145,0,364.462,416.156,374.338,0,,,"vp, chief finance officer & treasurer",MALE,.,10757,5510,4911,ELECTRIC SERVICES,24616,
"Vincent Nitido, Jr.",UNISOURCE ENERGY CORP,Utility,969.895,112.617,219.462,145,0,364.462,416.156,374.338,0,,,"vp, general counsel & chief administrative officer",MALE,.,10757,5510,4911,ELECTRIC SERVICES,24617,
Richard Meelia,TYCO INTERNATIONAL LTD,Industrial,36801.301,979.6,687.192,190,88.684,877.192,5734.177,1967.805,0,,,president-Tyco healthcare,MALE,54,10787,2010,9997,CONGLOMERATE,11613,
Juergen Gromer,TYCO INTERNATIONAL LTD,Industrial,36801.301,979.6,916.637,1992.328,0,2908.965,7388.837,3622.465,0,,,president-Tyco electronics,MALE,59,10787,2010,9997,CONGLOMERATE,20746,
Edward Breen,TYCO INTERNATIONAL LTD,Industrial,36801.301,979.6,1500,1500,195.721,3000,3525.971,3525.971,0,,CEO,chairman & CEO,MALE,47,10787,2010,9997,CONGLOMERATE,24905,CEO
David FitzPatrick,TYCO INTERNATIONAL LTD,Industrial,36801.301,979.6,750,750,153.846,1500,1755.495,1755.495,0,,,executive vp & chief finance officer,MALE,49,10787,2010,9997,CONGLOMERATE,24906,
William Lytton,TYCO INTERNATIONAL LTD,Industrial,36801.301,979.6,650,650,60.454,1300,1446.994,1446.994,0,,,executive vp & general counsel,MALE,55,10787,2010,9997,CONGLOMERATE,24907,
Greg Lee,TYSON FOODS INC  -CL A,Staples,24549,337,677.18,600,75.2,1277.18,8656.537,6798.852,0,,,chief administrative officer; president-international,MALE,.,10793,3020,2011,MEAT PACKING PLANTS,11576,
John Tyson,TYSON FOODS INC  -CL A,Staples,24549,337,993.59,2500,325.286,3493.59,26628.682,20921.299,0,1.01,CEO,chairman & CEO,MALE,50,10793,3020,2011,MEAT PACKING PLANTS,17920,CEO
Steven Hankins,TYSON FOODS INC  -CL A,Staples,24549,337,475.417,240,0,715.417,906.826,770.031,0,,,executive vp & chief finance officer,MALE,.,10793,3020,2011,MEAT PACKING PLANTS,23288,
Richard Bond,TYSON FOODS INC  -CL A,Staples,24549,337,943.615,1200,183.548,2143.615,14851.419,11803.252,0,,,president & chief operating officer,MALE,56,10793,3020,2011,MEAT PACKING PLANTS,23289,
Eugene Leman,TYSON FOODS INC  -CL A,Staples,24549,337,528.353,312,0,840.353,1275.072,1166.038,0,,,senior group vp-fresh meats,MALE,.,10793,3020,2011,MEAT PACKING PLANTS,23290,
Lon Greenberg,UGI CORP,Utility,3026.1,98.9,757.008,1075.981,12.824,1832.989,3621.701,7595.045,0,,CEO,"chairman, president & CEO",MALE,53,10801,5510,4932,GAS & OTHER SERV COMBINED,20055,CEO
Anthony Mendicino,UGI CORP,Utility,3026.1,98.9,330.207,359.053,0,689.26,1169.53,2055.43,0,,,senior vp-finance & chief finance officer,MALE,.,10801,5510,4932,GAS & OTHER SERV COMBINED,20056,
Robert Chaney,UGI CORP,Utility,3026.1,98.9,307.534,230.88,8.695,538.414,822.217,1635.709,0,,,"president & CEO-UGI Utilities, Inc.",MALE,.,10801,5510,4932,GAS & OTHER SERV COMBINED,20057,
Michael Cuzzolina,UGI CORP,Utility,3026.1,98.9,225.425,50.228,0,275.653,488.191,1996.348,0,,,vp-accounting and financial control,MALE,.,10801,5510,4932,GAS & OTHER SERV COMBINED,20058,
Brendan Bovaird,UGI CORP,Utility,3026.1,98.9,241.949,181.986,7.313,423.935,921.741,1273.624,277.086,,,vp & general counsel,MALE,.,10801,5510,4932,GAS & OTHER SERV COMBINED,20059,
Eugene Bissell,UGI CORP,Utility,3026.1,98.9,372.08,245.281,2.52,617.361,1144.697,1673.826,0,,,"president & CEO-Amerigas Propane, Inc.",MALE,.,10801,5510,4932,GAS & OTHER SERV COMBINED,20862,
Martin Koffel,URS CORP,Industrial,3186.714,58.104,857.706,0,26.4,857.706,3169.543,3169.543,0,0.93,CEO,"chairman, president & CEO",MALE,64,10813,2010,8711,ENGINEERING SERVICES,17431,CEO
Irwin Rosenstein,URS CORP,Industrial,3186.714,58.104,500.032,32.1,11.063,532.132,563.874,563.874,0,,,chairman-URS division,MALE,.,10813,2010,8711,ENGINEERING SERVICES,17432,
Kent Ainsworth,URS CORP,Industrial,3186.714,58.104,425.027,0,24.738,425.027,451.719,451.719,0,0.48,,"executive vp, chief finance officer & secretary",MALE,.,10813,2010,8711,ENGINEERING SERVICES,17434,
George Melton,URS CORP,Industrial,3186.714,58.104,500.011,364.008,15,864.019,887.299,887.299,0,,,president-EG&G division,MALE,.,10813,2010,8711,ENGINEERING SERVICES,24963,
Thomas Bishop,URS CORP,Industrial,3186.714,58.104,317.328,42.735,0,360.063,684.221,520.358,0,,,senior vp-construction services,MALE,.,10813,2010,8711,ENGINEERING SERVICES,26651,
Gary Jandegian,URS CORP,Industrial,3186.714,58.104,304.069,27.286,24.42,331.355,1128.139,733.277,0,,,president-URS division,MALE,.,10813,2010,8711,ENGINEERING SERVICES,26652,
William Foote,USG CORP,Industrial,3666,122,895,1756.351,57.48,2651.351,2717.22,2717.22,0,,CEO,"chairman, president & CEO",MALE,53,10816,2010,3270,"CONCRETE,GYPSUM,PLASTER PDS",17310,CEO
Richard Fleming,USG CORP,Industrial,3666,122,455,735.283,0,1190.283,1198.672,1198.672,0,,,executive vp & chief finance officer,MALE,.,10816,2010,3270,"CONCRETE,GYPSUM,PLASTER PDS",17314,
Edward Bosowski,USG CORP,Industrial,3666,122,380,614.083,0,994.083,1002.235,1002.235,0,,,executive vp-corporate strategy and marketing; president-USG international,MALE,.,10816,2010,3270,"CONCRETE,GYPSUM,PLASTER PDS",21625,
Stanley Ferguson,USG CORP,Industrial,3666,122,351.667,561.183,82.238,912.85,1003.477,1003.477,0,,,executive vp & general counsel,MALE,.,10816,2010,3270,"CONCRETE,GYPSUM,PLASTER PDS",24647,
James Metcalf,USG CORP,Industrial,3666,122,376.67,601.583,0,978.253,986.417,986.417,0,,,executive vp; president-building systems,MALE,.,10816,2010,3270,"CONCRETE,GYPSUM,PLASTER PDS",26109,
Willis Moore III,UNIFI INC,Discretionary,849.116,-27.177,370.008,50,2.946,420.008,469.123,469.123,0,,,vp-governmental and investor relations,MALE,.,10839,2520,2200,TEXTILE MILL PRODUCTS,13636,
Brian Parke,UNIFI INC,Discretionary,849.116,-27.177,750,250,10.487,1000,1101.664,1101.664,4,,CEO,president & CEO,MALE,55,10839,2520,2200,TEXTILE MILL PRODUCTS,17830,CEO
G. Webster,UNIFI INC,Discretionary,849.116,-27.177,308.34,0,60.907,308.34,1134.817,1134.817,753.622,,,executive vp,MALE,55,10839,2520,2200,TEXTILE MILL PRODUCTS,17831,
Stewart Little,UNIFI INC,Discretionary,849.116,-27.177,212.5,0,0.231,212.5,823.56,823.56,604.546,,,senior vp,MALE,.,10839,2520,2200,TEXTILE MILL PRODUCTS,20373,
Michael Delaney,UNIFI INC,Discretionary,849.116,-27.177,250.008,50,0,300.008,336.757,336.757,0,,,vp-commercial operations,MALE,.,10839,2520,2200,TEXTILE MILL PRODUCTS,23012,
"Thomas Caudle, Jr.",UNIFI INC,Discretionary,849.116,-27.177,229.008,50,1.411,279.008,286.294,286.294,0,,,vp-global operations,MALE,.,10839,2520,2200,TEXTILE MILL PRODUCTS,26367,
"Robert Smith, Jr.",UNIFI INC,Discretionary,849.116,-27.177,210.008,50,0,260.008,277.384,277.384,0,,,vp-North American operations,MALE,.,10839,2520,2200,TEXTILE MILL PRODUCTS,26368,
Charles Mueller,AMEREN CORP,Utility,4593,535,730,688,0,1418,2153.807,2153.807,0,,CEO,chairman & CEO; chairman-CILCORP and CILCO,MALE,64,10860,5510,4911,ELECTRIC SERVICES,2259,CEO
Paul Agathen,AMEREN CORP,Utility,4593,535,296,175.85,0,471.85,801.157,1046.578,102.826,,,"senior vp-Union Electric, CIPS, Ameren Services, AEG, CILCORP and CILCO",MALE,56,10860,5510,4911,ELECTRIC SERVICES,14116,
Gary Rainwater,AMEREN CORP,Utility,4593,535,500,397.5,0,897.5,1293.205,1293.205,0,,,president & chief operating officer; president & CEO-CIPS & president-subs.,MALE,57,10860,5510,4911,ELECTRIC SERVICES,16185,
Garry Randolph,AMEREN CORP,Utility,4593,535,309,189,0,498,698.904,698.904,0,,,"senior vp-Union Electric, CIPS, AEG, CILCORP and CILCO",MALE,55,10860,5510,4911,ELECTRIC SERVICES,18587,
Warner Baxter,AMEREN CORP,Utility,4593,535,340.834,287.34,0,628.174,832.171,832.171,0,,,executive vp & chief finance officer,MALE,52,10860,5510,4911,ELECTRIC SERVICES,25008,
Thomas Voss,AMEREN CORP,Utility,4593,535,270.417,202.9,0,473.317,643.577,643.577,0,,,"president-AER and AEG & senior vp-UE, CIPS, Ameren Services, CILCORP &CILCO",MALE,59,10860,5510,4911,ELECTRIC SERVICES,26755,
Richard Davidson,UNION PACIFIC CORP,Industrial,11551,1585,1258.333,0,211.517,1258.333,19487.23,15110.721,0,,CEO,chairman & CEO,MALE,62,10867,2030,4011,"RAILROADS,LINE-HAUL OPERATNG",2263,CEO
Carl von Bernuth,UNION PACIFIC CORP,Industrial,11551,1585,440,800,1.447,1240,3565.643,3576.997,0,,,"senior vp, general counsel & secretary",MALE,.,10867,2030,4011,"RAILROADS,LINE-HAUL OPERATNG",4990,
Ivor Evans,UNION PACIFIC CORP,Industrial,11551,1585,770,1583,118.524,2353,9107.42,9814.081,0,,,president & chief operating officer-railroad,MALE,61,10867,2030,4011,"RAILROADS,LINE-HAUL OPERATNG",16116,
James Young,UNION PACIFIC CORP,Industrial,11551,1585,465,0,0.197,465,4416.876,3408.187,0,,,executive vp-finance,MALE,.,10867,2030,4011,"RAILROADS,LINE-HAUL OPERATNG",21013,
Dennis Duffy,UNION PACIFIC CORP,Industrial,11551,1585,461.667,650,0.379,1111.667,3999.092,2787.774,0,,,executive vp-operations of the railroad,MALE,.,10867,2030,4011,"RAILROADS,LINE-HAUL OPERATNG",23445,
John Nikkel,UNIT CORP,Energy,299.755,50.189,360,143.333,7.332,503.333,719.007,1523.785,0,,CEO,chairman & CEO,MALE,69,10877,1010,1381,DRILLING OIL AND GAS WELLS,23091,CEO
Earle Lamborn,UNIT CORP,Energy,299.755,50.189,205,93.333,4.909,298.333,315.242,1120.512,0,,,senior vp-drilling,MALE,.,10877,1010,1381,DRILLING OIL AND GAS WELLS,23092,
Philip Keeley,UNIT CORP,Energy,299.755,50.189,205,93.333,3.588,298.333,315.921,860.806,0,,,senior vp-exploration and production,MALE,.,10877,1010,1381,DRILLING OIL AND GAS WELLS,23093,
Larry Pinkston,UNIT CORP,Energy,299.755,50.189,170.75,68.333,4.136,239.083,384.78,255.219,0,,,president & chief finance officer,MALE,49,10877,1010,1381,DRILLING OIL AND GAS WELLS,23094,
Mark Schell,UNIT CORP,Energy,299.755,50.189,153.333,68.333,7.4,221.666,338.237,241.066,0,,,"senior vp, general counsel & secretary",MALE,.,10877,1010,1381,DRILLING OIL AND GAS WELLS,24479,
Thomas Toomey,UNITED DOMINION REALTY TRUST,Financial,604.435,70.404,250,950,0,1200,1200,1200,0,0.34,CEO,president & CEO,MALE,43,10894,4040,6798,REAL ESTATE INVESTMENT TRUST,25526,CEO
W. Wallis,UNITED DOMINION REALTY TRUST,Financial,604.435,70.404,225,450,0,675,675,723.916,0,,,senior executive vp,MALE,.,10894,4040,6798,REAL ESTATE INVESTMENT TRUST,25527,
Ella Neyland,UNITED DOMINION REALTY TRUST,Financial,604.435,70.404,200,450,0,650,656,1249.92,0,,,executive vp & treasurer,FEMALE,.,10894,4040,6798,REAL ESTATE INVESTMENT TRUST,25528,
Christopher Genry,UNITED DOMINION REALTY TRUST,Financial,604.435,70.404,200,500,0,700,706,706,0,,,executive vp & chief finance officer,MALE,.,10894,4040,6798,REAL ESTATE INVESTMENT TRUST,25529,
Martha Carlin,UNITED DOMINION REALTY TRUST,Financial,604.435,70.404,168,335,0,503,559,905.872,0,,,senior vp; director-property operations,FEMALE,.,10894,4040,6798,REAL ESTATE INVESTMENT TRUST,27253,
William McGuire,UNITEDHEALTH GROUP INC,Health,28823,1825,1996.154,5550,231.728,7546.154,28212.205,94177.531,0.15,1.21,CEO,chairman & CEO,MALE,55,10903,3510,6324,HOSPITAL & MEDICAL SVC PLANS,2267,CEO
Stephen Hemsley,UNITEDHEALTH GROUP INC,Health,28823,1825,1000,2325,79.234,3325,12883.723,39177.456,0.15,,,president & chief operating officer,MALE,51,10903,3510,6324,HOSPITAL & MEDICAL SVC PLANS,16868,
R. Wheeler,UNITEDHEALTH GROUP INC,Health,28823,1825,485,400,0,885,3149.843,9253.248,0.56,,,CEO-Uniprise,MALE,.,10903,3510,6324,HOSPITAL & MEDICAL SVC PLANS,16869,
David Lubben,UNITEDHEALTH GROUP INC,Health,28823,1825,475,550,0,1025,3826.546,7488.5,0.277,,,general counsel,MALE,.,10903,3510,6324,HOSPITAL & MEDICAL SVC PLANS,16870,
Robert Sheehy,UNITEDHEALTH GROUP INC,Health,28823,1825,485,500,0,985,3764.227,10705.957,0.128,,,CEO-UnitedHealthCare,MALE,.,10903,3510,6324,HOSPITAL & MEDICAL SVC PLANS,23793,
Nathaniel Woodson,UIL HOLDINGS CORP,Utility,963.677,23.286,563.475,0,0,563.475,1242.54,571.871,0,0.29,CEO,"chairman, president & CEO",MALE,62,10905,5510,4911,ELECTRIC SERVICES,16995,CEO
Charles Pepe,UIL HOLDINGS CORP,Utility,963.677,23.286,158.525,16.2,0,174.725,222.879,182.639,0,,,treasurer & assistant secretary,MALE,.,10905,5510,4911,ELECTRIC SERVICES,22249,
Susan Allen,UIL HOLDINGS CORP,Utility,963.677,23.286,148.3,18.9,0,167.2,208.14,174.607,0,,,"vp-investor relations, secretary & assistant treasurer",FEMALE,.,10905,5510,4911,ELECTRIC SERVICES,24592,
Louis Paglia,UIL HOLDINGS CORP,Utility,963.677,23.286,262.95,0,0,262.95,439.013,271.346,0,,,executive vp & chief finance officer,MALE,.,10905,5510,4911,ELECTRIC SERVICES,25808,
Gregory Buckis,UIL HOLDINGS CORP,Utility,963.677,23.286,85.674,15.8,0,101.474,150.96,111.674,0,,,controller,MALE,.,10905,5510,4911,ELECTRIC SERVICES,27423,
Joseph Moderow,UNITED PARCEL SERVICE INC,Industrial,33485,2898,572,230.92,0,802.92,1094.794,3512.366,0,,,"senior vp, secretary & legal and public affairs group manager",MALE,.,10920,2030,4210,"TRUCKING,COURIER SVC,EX AIR",18603,
Michael Eskew,UNITED PARCEL SERVICE INC,Industrial,33485,2898,863,351.4,0,1214.4,1792.066,3044.478,0,,CEO,chairman & CEO,MALE,54,10920,2030,4210,"TRUCKING,COURIER SVC,EX AIR",21302,CEO
Lea Soupata,UNITED PARCEL SERVICE INC,Industrial,33485,2898,472.4,190.76,0,663.16,886.744,2640.429,0,,,senior vp & human resources group manager,FEMALE,53,10920,2030,4210,"TRUCKING,COURIER SVC,EX AIR",23623,
Thomas Weidemeyer,UNITED PARCEL SERVICE INC,Industrial,33485,2898,579.777,233.43,0,813.207,1100.774,3121.225,0,,,senior vp & chief operating officer; president-UPS Airlines,MALE,.,10920,2030,4210,"TRUCKING,COURIER SVC,EX AIR",23624,
Calvin Darden,UNITED PARCEL SERVICE INC,Industrial,33485,2898,453.65,183.23,0,636.88,865.079,2233.095,0,,,senior vp-U.S. operations,MALE,.,10920,2030,4210,"TRUCKING,COURIER SVC,EX AIR",25147,
B. Baldanza,US AIRWAYS GROUP INC,Industrial,6846,1461,352.75,0,200.693,352.75,2802.536,2222.677,0,,,senior vp-marketing and planning,MALE,42,10946,2030,4512,"AIR TRANSPORT, SCHEDULED",22316,
David Siegel,US AIRWAYS GROUP INC,Industrial,6846,1461,600,0,47.939,600,12475.18,8996.026,0,2.17,CEO,president & CEO,MALE,42,10946,2030,4512,"AIR TRANSPORT, SCHEDULED",26289,CEO
Neal Cohen,US AIRWAYS GROUP INC,Industrial,6846,1461,394.25,0,255.473,394.25,4940.445,3780.727,44.838,,,executive vp-finance & chief finance officer,MALE,43,10946,2030,4512,"AIR TRANSPORT, SCHEDULED",26290,
Alan Crellin,US AIRWAYS GROUP INC,Industrial,6846,1461,352.75,72.915,224.638,425.665,3078.678,2498.819,0,,,executive vp-operations,MALE,57,10946,2030,4512,"AIR TRANSPORT, SCHEDULED",26291,
Elizabeth Lanier,US AIRWAYS GROUP INC,Industrial,6846,1461,284.914,0,182.217,284.914,2699.387,2119.528,43.238,,,"executive vp-corporate affairs, general counsel & secretary",FEMALE,52,10946,2030,4512,"AIR TRANSPORT, SCHEDULED",27390,
"Vincent Gierer, Jr.",UST INC,Staples,1698.274,318.789,900,1439,0,2339,3317.615,2797.885,0,,CEO,"chairman, president & CEO",MALE,56,10974,3020,2100,TOBACCO PRODUCTS,2292,CEO
Richard Verheij,UST INC,Staples,1698.274,318.789,575,843.179,0,1418.179,1995.358,3750.719,0,,,executive vp & general councel,MALE,.,10974,3020,2100,TOBACCO PRODUCTS,9181,
Robert D'Alessandro,UST INC,Staples,1698.274,318.789,425,582,0,1007,1423.761,1956.785,0,,,senior vp & chief finance officer,MALE,.,10974,3020,2100,TOBACCO PRODUCTS,18796,
Richard Kohlberger,UST INC,Staples,1698.274,318.789,315,500,0,815,1147.835,1532.293,0,,,senior vp,MALE,.,10974,3020,2100,TOBACCO PRODUCTS,21167,
Murray Kessler,UST INC,Staples,1698.274,318.789,500,942,0,1442,2019.179,2936.461,0,,,president-U.S. Smokeless Tobacco Company,MALE,.,10974,3020,2100,TOBACCO PRODUCTS,21168,
Kathleen Dvorak,UNITED STATIONERS INC,Industrial,3847.722,73.002,282.861,140.526,3.84,423.387,833.605,433.227,0,,,senior vp & chief finance officer,FEMALE,.,10981,2020,5110,PAPER & PAPER PRODUCTS-WHSL,24556,
Mark Hampton,UNITED STATIONERS INC,Industrial,3847.722,73.002,276.668,132.737,7.987,409.405,861.661,1018.45,0,,,senior vp-marketing,MALE,.,10981,2020,5110,PAPER & PAPER PRODUCTS-WHSL,24557,
Joseph Templet,UNITED STATIONERS INC,Industrial,3847.722,73.002,273.6,132.088,7.913,405.688,819.979,846.752,0,,,senior vp-field sales,MALE,.,10981,2020,5110,PAPER & PAPER PRODUCTS-WHSL,24558,
Richard Gochnauer,UNITED STATIONERS INC,Industrial,3847.722,73.002,772.297,627.444,195.408,1399.741,3507.711,1601.149,0,,CEO,president & CEO,MALE,54,10981,2020,5110,PAPER & PAPER PRODUCTS-WHSL,25802,CEO
John Sloan,UNITED STATIONERS INC,Industrial,3847.722,73.002,253.464,276.703,6.44,530.167,1019.248,542.607,0,,,senior vp-human resources,MALE,.,10981,2020,5110,PAPER & PAPER PRODUCTS-WHSL,27123,
George David,UNITED TECHNOLOGIES CORP,Industrial,31059,2361,1200,2800,225.837,4000,11725.098,70527.296,0,,CEO,chairman & CEO,MALE,61,10983,2010,3724,"AIRCRAFT ENGINE,ENGINE PARTS",2304,CEO
Stephen Page,UNITED TECHNOLOGIES CORP,Industrial,31059,2361,750,1250,143.522,2000,5607.389,13284.574,0,,,vice chairman & chief finance officer,MALE,.,10983,2010,3724,"AIRCRAFT ENGINE,ENGINE PARTS",2307,
Louis Chenevert,UNITED TECHNOLOGIES CORP,Industrial,31059,2361,525,325,62.077,850,2891.56,2166.607,0,,,president-Pratt & Whitney,MALE,.,10983,2010,3724,"AIRCRAFT ENGINE,ENGINE PARTS",21227,
Ari Bousbib,UNITED TECHNOLOGIES CORP,Industrial,31059,2361,475,650,54.212,1125,3038.17,1210.637,0,,,president-Otis Elevator,MALE,.,10983,2010,3724,"AIRCRAFT ENGINE,ENGINE PARTS",24931,
Geraud Darnis,UNITED TECHNOLOGIES CORP,Industrial,31059,2361,455,500,92.792,955,2910.035,1525.182,0,,,president-Carrier Corporation,MALE,.,10983,2010,3724,"AIRCRAFT ENGINE,ENGINE PARTS",26666,
William Esrey,SPRINT FON GROUP,Telecom,14185,1876,2572.796,895.833,289.286,3468.629,8737.65,8737.65,4970.706,0.29,,chairman & CEO,MALE,.,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,2308,
Ronald LeMay,SPRINT FON GROUP,Telecom,14185,1876,1904.35,322.5,267.171,2226.85,5930.221,5930.221,3427.2,,,president & chief operating officer,MALE,.,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,2309,
Gary Forsee,SPRINT FON GROUP,Telecom,14185,1876,813.41,2532.206,162.117,3345.616,25719.144,16445.958,93.474,,CEO,chairman & CEO,MALE,53,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,9182,CEO
Michael Fuller,SPRINT FON GROUP,Telecom,14185,1876,641.705,581.034,7.339,1222.739,3671.139,2000.644,10.816,,,president-local telecommunications division,MALE,.,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,13920,
Len Lauer,SPRINT FON GROUP,Telecom,14185,1876,652.318,625.808,8.974,1278.126,6797.962,5106.1,0,,,president & chief operating officer;president-Sprint PCS,MALE,.,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,25262,
Robert Dellinger,SPRINT FON GROUP,Telecom,14185,1876,511.343,603.503,2.968,1114.846,3176.179,1784.1,0.411,,,executive vp & chief finance officer,MALE,.,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,26791,
Howard Janzen,SPRINT FON GROUP,Telecom,14185,1876,308.813,642.58,29.072,951.393,2489.231,1485.353,55.015,,,president-global markets division,MALE,.,10984,5010,4813,PHONE COMM EX RADIOTELEPHONE,26792,
Kenneth Manning,SENSIENT TECHNOLOGIES CORP,Materials,987.408,81.432,725,308.125,272.072,1033.125,2671.265,2300.787,0,,CEO,"chairman, president & CEO",MALE,62,11012,1510,2860,INDUSTRIAL ORGANIC CHEMICALS,4065,CEO
Richard Hobbs,SENSIENT TECHNOLOGIES CORP,Materials,987.408,81.432,352,114.4,92.25,466.4,1067.711,948.9,0,,,"vp, chief finance officer & treasurer",MALE,.,11012,1510,2860,INDUSTRIAL ORGANIC CHEMICALS,9184,
John Hammond,SENSIENT TECHNOLOGIES CORP,Materials,987.408,81.432,237,77.025,9.78,314.025,662.299,544.41,0,,,"vp, general counsel & secretary",MALE,.,11012,1510,2860,INDUSTRIAL ORGANIC CHEMICALS,23995,
Ralph Pickles,SENSIENT TECHNOLOGIES CORP,Materials,987.408,81.432,261,225.114,0,486.114,1146.937,852.214,146,,,president-flavors and fragrances,MALE,.,11012,1510,2860,INDUSTRIAL ORGANIC CHEMICALS,23996,
Richard Carney,SENSIENT TECHNOLOGIES CORP,Materials,987.408,81.432,226,73.45,64.559,299.45,698.339,657.125,0,,,vp-administration,MALE,.,11012,1510,2860,INDUSTRIAL ORGANIC CHEMICALS,25486,
Henry Harrell,UNIVERSAL CORP/VA,Staples,2636.776,110.594,311.139,512.928,0,824.067,998.875,998.875,0,,CEO,chairman,MALE,.,11017,3020,5150,FARM-PRODUCT RAW MATL-WHSL,4069,CEO
Allen King,UNIVERSAL CORP/VA,Staples,2636.776,110.594,547.514,1223.061,0,1770.575,4745.474,2561.792,0,,,president & CEO,MALE,57,11017,3020,5150,FARM-PRODUCT RAW MATL-WHSL,4070,
William Taylor,UNIVERSAL CORP/VA,Staples,2636.776,110.594,351.141,532.303,0,883.444,2425.36,1380.133,0,,,vp & chief administrative officer,MALE,.,11017,3020,5150,FARM-PRODUCT RAW MATL-WHSL,4072,
Hartwell Roper,UNIVERSAL CORP/VA,Staples,2636.776,110.594,268.483,392.966,0,661.449,2115.76,1081.498,0,,,vp & chief finance officer,MALE,.,11017,3020,5150,FARM-PRODUCT RAW MATL-WHSL,4073,
Jack van de Winkel,UNIVERSAL CORP/VA,Staples,2636.776,110.594,344.821,352.428,0,697.249,1166.639,697.249,0,,,"co-chairman & co-president-Deli Universal, Inc.",MALE,.,11017,3020,5150,FARM-PRODUCT RAW MATL-WHSL,15597,
James Starkey III,UNIVERSAL CORP/VA,Staples,2636.776,110.594,216.5,232.308,0,448.808,1431.333,760.309,0,,,vice president,MALE,.,11017,3020,5150,FARM-PRODUCT RAW MATL-WHSL,26386,
Alan Miller,UNIVERSAL HEALTH SVCS  -CL B,Health,3641.966,199.269,1091.8,737,7406.563,1828.8,9315.065,16206.065,0,7.64,CEO,"chairman, president & CEO",MALE,66,11032,3510,8062,GEN MED & SURGICAL HOSPITALS,6850,CEO
Kirk Gorman,UNIVERSAL HEALTH SVCS  -CL B,Health,3641.966,199.269,314.446,0,1043.231,314.446,1513.677,1513.677,150,,,"senior vp, treasurer & chief finance officer",MALE,.,11032,3510,8062,GEN MED & SURGICAL HOSPITALS,6851,
Richard Wright,UNIVERSAL HEALTH SVCS  -CL B,Health,3641.966,199.269,234.153,70.579,277.138,304.732,587.87,1244.192,0,,,vice president,MALE,.,11032,3510,8062,GEN MED & SURGICAL HOSPITALS,6852,
Steve Filton,UNIVERSAL HEALTH SVCS  -CL B,Health,3641.966,199.269,286.5,129,529.684,415.5,951.184,1114.909,0,,,senior vp &  chief finance officer,MALE,.,11032,3510,8062,GEN MED & SURGICAL HOSPITALS,6854,
